date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:59	454/454	---M--	403	error ('Forbidden')	text/html	date:Tue,%2006%20Feb%202024%2008:18:59%20GMT	https://d24q9vurymtq75.cloudfront.net/robots.txt		(from )
15:18:59	71153/71153	---MCZ	200	added ('OK')	text/html	etag:W/%22d257d16486147a6e7f0e77c45e5d8170%22	https://d24q9vurymtq75.cloudfront.net/go-massage/	C:/My%20Web%20Sites/MasterCode/d24q9vurymtq75.cloudfront.net/go-massage/index.html	(from )
15:19:00	16290/16290	---M--	200	added ('OK')	text/css	etag:%2228e2cebde0460a6266147075f2b067fd%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/bin/pure-min.css	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/bin/pure-min.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:02	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/MasterCode/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:03	8085/8085	---M--	200	added ('OK')	text/css	etag:%22be2e85de12513ee623412a88062859c6%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/bin/grids-responsive-min.css	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/bin/grids-responsive-min.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:04	1290/1290	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-50a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	C:/My%20Web%20Sites/MasterCode/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:06	2349/2349	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-92d%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	C:/My%20Web%20Sites/MasterCode/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:10	776274/776274	---M--	200	added ('OK')	text/css	etag:%2236997492445a2bd3d01ae817d77b7bc2%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/Main.css	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/styles/Main.css	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:10	2542/2542	---M--	200	added ('OK')	image/png	etag:%2220a024cecd46e49bd33eeb8fe2e8af3f%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/favicon.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/favicon.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2006%20Feb%202024%2008:19:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/MasterCode/www.googletagmanager.com/gtm.75445.delayed	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:12	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/MasterCode/www.google-analytics.com/analytics.js	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:13	454/454	---M--	403	error ('Forbidden')	text/html	date:Tue,%2006%20Feb%202024%2008:19:12%20GMT	https://d24q9vurymtq75.cloudfront.net/go-massage/linkid.js	C:/My%20Web%20Sites/MasterCode/d24q9vurymtq75.cloudfront.net/go-massage/linkid.js	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:14	4339/4339	---M--	200	added ('OK')	image/png	etag:%22214b324be5608830ac3c4257ba886957%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/gojek-logo.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/gojek-logo.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:16	527/527	---M--	200	added ('OK')	image/png	etag:%22cab8a3bb89cab609d69bfb710301d10c%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/profile.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/profile.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:17	1059/1059	---M--	200	added ('OK')	image/png	etag:%22674e5bb111b30002d533729b82e75921%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/bars.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/bars.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:18	11023/11023	---M--	200	added ('OK')	image/png	etag:%22a0ab56072a18273c2992a4223ab681af%22	https://lelogama.go-jek.com/service_icon/gojek.png	C:/My%20Web%20Sites/MasterCode/lelogama.go-jek.com/service_icon/gojek.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:18	234/234	---M--	200	added ('OK')	image/png	etag:%224352be4ef30b028ceb9a5cb7097b36d1%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/arrow-forward.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/card/navigation/arrow-forward.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:21	75035/75035	---M--	200	added ('OK')	image/jpeg	etag:%22d4a1461aa157dfcc910475ec998104af%22	https://d3naj63yelf4gk.cloudfront.net/dist/img/header/hero/go-massage--mobile.jpg	C:/My%20Web%20Sites/MasterCode/d3naj63yelf4gk.cloudfront.net/dist/img/header/hero/go-massage--mobile.jpg	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:23	349318/349318	---M--	200	added ('OK')	image/jpeg	etag:%221e7b7f2dc3dffebffc361749ca21c5ae%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/mitra/talent.jpg	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/mitra/talent.jpg	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:24	11478/11478	---M--	200	added ('OK')	image/png	etag:%2236816f6c08d7d2bc8c8ba8c00407e6de%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/ourvalues-3.png	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/page/gomassage/ourvalues-3.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:25	454/454	---M--	403	error ('Forbidden')	text/html	date:Tue,%2006%20Feb%202024%2008:19:24%20GMT	https://d24q9vurymtq75.cloudfront.net/static/dist/img/card/how-to-use/bitmap.jpg	C:/My%20Web%20Sites/MasterCode/d24q9vurymtq75.cloudfront.net/static/dist/img/card/how-to-use/bitmap.jpg	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:25	454/454	---M--	403	error ('Forbidden')	text/html	date:Tue,%2006%20Feb%202024%2008:19:24%20GMT	https://d24q9vurymtq75.cloudfront.net/static/dist/img/card/how-to-use/phone.png	C:/My%20Web%20Sites/MasterCode/d24q9vurymtq75.cloudfront.net/static/dist/img/card/how-to-use/phone.png	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
15:19:27	52752/52752	---M--	200	added ('OK')	image/jpeg	etag:%221be7a3ef3f94e9fc82ddaff50b6a5b3c%22	https://s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/how-to/gomassage/1.jpg	C:/My%20Web%20Sites/MasterCode/s3-ap-southeast-1.amazonaws.com/cdn.go-jek.com/dist/img/how-to/gomassage/1.jpg	(from https://d24q9vurymtq75.cloudfront.net/go-massage/)
